name,diameter_mm,length_m,wall_thickness_mm,price,install_price,category
СВЛ-57-1000,57,1000,3.5,932,1398,Винтовые сваи
СВЛ-57-1200,57,1200,3.5,981,1471,Винтовые сваи
СВЛ-57-1500,57,1500,3.5,1030,1545,Винтовые сваи
СВЛ-57-2000,57,2000,3.5,981,1471,Винтовые сваи
СВЛ-57-2500,57,2500,3.5,1030,1545,Винтовые сваи
СВЛ-57-3000,57,3000,3.5,1103,1655,Винтовые сваи
СВЛ-60-1600,60,1600,4.5,1324,1986,Винтовые сваи
СВЛ-60-2000,60,2000,4.5,1496,2243,Винтовые сваи
СВЛ-60-2500,60,2500,4.5,1679,2519,Винтовые сваи
СВЛ-60-3000,60,3000,4.5,1875,2813,Винтовые сваи
СВЛ-73-1500,73,1500,5.5,858,1287,Винтовые сваи
СВЛ-73-2000,73,2000,5.5,981,1471,Винтовые сваи
СВЛ-73-2500,73,2500,5.5,1103,1655,Винтовые сваи
СВЛ-73-3000,73,3000,5.5,1226,1839,Винтовые сваи
СВЛ-76-1500,76,1500,3.5,1177,1765,Винтовые сваи
СВЛ-76-2000,76,2000,3.5,1238,1857,Винтовые сваи
СВЛ-76-2500,76,2500,3.5,1348,2022,Винтовые сваи
СВЛ-76-3000,76,3000,3.5,1496,2243,Винтовые сваи
СВЛ-89-1500,89,1500,6.5,1103,1655,Винтовые сваи
СВЛ-89-2000,89,2000,6.5,1226,1839,Винтовые сваи
СВЛ-89-2500,89,2500,6.5,1471,2206,Винтовые сваи
СВЛ-89-3000,89,3000,6.5,1716,2574,Винтовые сваи
СВЛ-102-1500,102,1500,6.5,1594,2390,Винтовые сваи
СВЛ-102-2000,102,2000,6.5,1900,2850,Винтовые сваи
СВЛ-102-2500,102,2500,6.5,2268,3401,Винтовые сваи
СВЛ-102-3000,102,3000,6.5,2635,3953,Винтовые сваи
СВЛ-108-1500,108,1500,4,1802,2703,Винтовые сваи
СВЛ-108-2000,108,2000,4,1863,2795,Винтовые сваи
СВЛ-108-2500,108,2500,4,1863,2795,Винтовые сваи
СВЛ-108-3000,108,3000,4,2255,3383,Винтовые сваи
СВЛ-133-2000,133,2000,4,2317,3475,Винтовые сваи
СВЛ-133-2500,133,2500,4,2574,3861,Винтовые сваи
СВЛ-133-3000,133,3000,4,2831,4247,Винтовые сваи
СВЛ-133-3500,133,3500,4,3089,4633,Винтовые сваи
СВЛ-159-3000,159,3000,4.5,1737,1941,Винтовые сваи
СВЛ-159-3500,159,3500,4.5,1788,1992,Винтовые сваи
СВЛ-159-4000,159,4000,4.5,1839,2050,Винтовые сваи
СВЛ-159-4500,159,4500,4.5,1890,2145,Винтовые сваи
Винтовая опора 219-3000,219,3000,4.5,1839,2145,Винтовые сваи
Винтовая опора 219-3500,219,3500,4.5,1890,2196,Винтовые сваи
Винтовая опора 219-4000,219,4000,4.5,1941,2247,Винтовые сваи
Винтовая опора 219-4500,219,4500,4.5,2145,2451,Винтовые сваи
Винтовая опора 325-3000,325,3000,4.5,2145,2451,Винтовые сваи
Винтовая опора 325-3500,325,3500,4.5,2298,2502,Винтовые сваи
Винтовая опора 325-4000,325,4000,4.5,2349,2554,Винтовые сваи
Винтовая опора 325-4500,325,4500,4.5,2451,2758,Винтовые сваи
Стальная опора 57 мм базовая,57,0,0,1395,1946,Опоры
Стальная опора 76 мм базовая,76,0,0,1519,2150,Опоры
Стальная опора 89 мм базовая,89,0,0,1570,2252,Опоры
Стальная опора 108 мм базовая,108,0,0,1694,2354,Опоры
Винтовая свая 57 мм под ключ вариант 2,57,0,0,1089,925,Винтовые сваи под ключ
Винтовая свая 76 мм под ключ вариант 2,76,0,0,1315,1027,Винтовые сваи под ключ
Винтовая свая 89 мм под ключ вариант 2,89,0,0,1366,1027,Винтовые сваи под ключ
Винтовая свая 108 мм под ключ вариант 2,108,0,0,1592,1027,Винтовые сваи под ключ
Винтовая свая 57 мм под ключ вариант 3,57,0,0,1083,920,Винтовые сваи под ключ
Винтовая свая 76 мм под ключ вариант 3,76,0,0,1308,1022,Винтовые сваи под ключ
Винтовая свая 89 мм под ключ вариант 3,89,0,0,1359,1022,Винтовые сваи под ключ
Винтовая свая 108 мм под ключ вариант 3,108,0,0,1583,1022,Винтовые сваи под ключ
Оцинкованная свая 57 мм,57,0,0,1345,0,Оцинкованные сваи
Оцинкованная свая 76 мм,76,0,0,1797,0,Оцинкованные сваи
Оцинкованная свая 89 мм,89,0,0,2105,0,Оцинкованные сваи
Оцинкованная свая 108 мм,108,0,0,2874,0,Оцинкованные сваи
Винтовая свая-шуруп 76х800,76,800,0,1277,613,Специальные сваи
Винтовая свая-шуруп 76х1000,76,1000,0,1410,817,Специальные сваи
Винтовая свая-шуруп 76х1200,76,1200,0,1451,920,Специальные сваи
Винтовая свая-шуруп 76х1500,76,1500,0,1614,1022,Специальные сваи
Комбинированная свая 57/60 1000/1500,57,1000,3.5,1226,0,Специальные сваи
Комбинированная свая 57/60 1000/2000,57,1000,3.5,1277,0,Специальные сваи
Комбинированная свая 57/60 1500/1500,57,1500,3.5,1308,0,Специальные сваи
Комбинированная свая 57/60 1500/2000,57,1500,3.5,1379,0,Специальные сваи
Квадратная опора 57х1000,57,1000,3.5,932,1226,Специальные сваи
Квадратная опора 57х1200,57,1200,3.5,981,1430,Специальные сваи
Квадратная опора 57х1500,57,1500,3.5,1030,1532,Специальные сваи
Профильная труба 60х60х1000,60,1000,2,1103,1226,Специальные сваи
Многовитковая опора 2000,0,2000,4.5,1324,1986,Специальные сваи
Многовитковая опора 2500,0,2500,4.5,1496,2243,Специальные сваи
Многовитковая опора 3000,0,3000,4.5,1679,2519,Специальные сваи
Многовитковая опора 3500,0,3500,4.5,1875,2813,Специальные сваи
Буроинъекционная опора 1500,0,1500,4,1802,2703,Специальные сваи
Буроинъекционная опора 2000,0,2000,4,1863,2795,Специальные сваи
Буроинъекционная опора 2500,0,2500,4,1863,2795,Специальные сваи
Буроинъекционная опора 3000,0,3000,4,2255,3383,Специальные сваи
Железобетонная свая 150х150х3000,0,3000,0,4494,0,Железобетонные сваи
Буронабивная свая 200х150,0,150,0,2043,0,Буронабивные сваи
Буронабивная свая 200х180,0,180,0,2247,0,Буронабивные сваи
Буронабивная свая 200х200,0,200,0,2451,0,Буронабивные сваи
Буронабивная свая 250х150,0,150,0,2656,0,Буронабивные сваи
Фундамент 4х6 м,0,0,0,43785,0,Готовые фундаменты
Фундамент 6х6 м,0,0,0,48937,0,Готовые фундаменты
Фундамент 6х8 м,0,0,0,56663,0,Готовые фундаменты
Фундамент 8х8 м,0,0,0,61814,0,Готовые фундаменты
Замена фундамента 3х4 м,0,0,0,70350,0,Замена фундамента
Замена фундамента 3х6 м,0,0,0,90450,0,Замена фундамента
Замена фундамента 5х6 м,0,0,0,100500,0,Замена фундамента
Замена фундамента 6х6 м,0,0,0,120600,0,Замена фундамента
Замена фундамента 6х8 м,0,0,0,145725,0,Замена фундамента
Поднятие фундамента 3х6 м,0,0,0,55275,0,Поднятие фундамента
Поднятие фундамента 5х6 м,0,0,0,95475,0,Поднятие фундамента
Поднятие фундамента 6х6 м,0,0,0,122610,0,Поднятие фундамента
Монтаж забора на сваю,0,0,0,791,0,Монтаж по типам объектов
Монтаж сваи 73 мм для дома,73,0,0,1232,0,Монтаж по типам объектов
Монтаж сваи 89 мм для дома,89,0,0,1437,0,Монтаж по типам объектов
Монтаж стандартной сваи,0,0,0,1643,0,Монтаж по типам объектов
Оголовок стандартный,0,0,0,514,0,Монтаж по типам объектов
Монтаж сваи 57 мм для бани,57,0,0,822,0,Монтаж по типам объектов
Монтаж сваи 76 мм для бани,76,0,0,925,0,Монтаж по типам объектов
Монтаж сваи 89 мм для бани,89,0,0,1232,0,Монтаж по типам объектов
Монтаж сваи 108 мм для бани,108,0,0,1284,0,Монтаж по типам объектов
Монтаж сваи 57 мм,57,0,0,925,0,Услуги монтажа
Монтаж сваи 76 мм,76,0,0,976,0,Услуги монтажа
Монтаж сваи 89 мм,89,0,0,1232,0,Услуги монтажа
Монтаж сваи 108 мм,108,0,0,1335,0,Услуги монтажа
Профильная труба 40х20х2,0,0,0,463,0,Обвязка свай
Профильная труба 60х30х2,0,0,0,514,0,Обвязка свай
Профильная труба 60х30х3,0,0,0,565,0,Обвязка свай
Профильная труба 80х40х2,0,0,0,874,0,Обвязка свай
Литой наконечник 57/200,0,0,0,600,0,Комплектующие
Литой наконечник 76/200,0,0,0,800,0,Комплектующие
Литой наконечник 89/250,0,0,0,950,0,Комплектующие
Литой наконечник 108/300,0,0,0,1200,0,Комплектующие
Оголовок 100х100,0,0,0,196,0,Комплектующие
Оголовок 150х100,0,0,0,227,0,Комплектующие
Оголовок 200х100,0,0,0,248,0,Комплектующие
Шнековое бурение,0,0,0,14070,0,Бурение и аренда
Бурение 42-62 мм,0,0,0,565,0,Бурение и аренда
Бурение 62-102 мм,0,0,0,791,0,Бурение и аренда
Бурение 102-142 мм,0,0,0,1017,0,Бурение и аренда
Бурение 142-182 мм,0,0,0,1130,0,Бурение и аренда
Аренда ямобора Mitsubishi,0,0,0,12060,0,Бурение и аренда
Аренда ямобора ГАЗ 33088,0,0,0,14070,0,Бурение и аренда
Аренда ямобора Камаз 6х6,0,0,0,16080,0,Бурение и аренда
Аренда мини-экскаватора,0,0,0,12060,0,Бурение и аренда
Изготовление металлоконструкций,0,0,0,65325,0,Металлоконструкции
Монтаж металлоконструкций,0,0,0,65325,0,Металлоконструкции
Опоры и площадки,0,0,0,85425,0,Металлоконструкции
Стальные фермы,0,0,0,20100,0,Металлоконструкции
Усиление фундамента под ключ,0,0,0,15075,0,Усиление фундамента
Разработка грунта,0,0,0,1951,0,Усиление фундамента
Подготовка основания,0,0,0,1027,0,Усиление фундамента
Монтаж винтовых свай d 108 мм,108,0,0,1027,0,Усиление фундамента
Пенополистирол ПСБС,0,0,0,8170,0,Утепление
Экструдированный пенополистирол XPS,0,0,0,12255,0,Утепление
Минеральная вата,0,0,0,10213,0,Утепление
Полиуретановая пена,0,0,0,15319,0,Утепление
L-кронштейн MR-VI-01,0,0,0,140,0,Солнечные батареи
Z-крепеж для модулей,0,0,0,280,0,Солнечные батареи
Боковой фиксатор 35 мм,0,0,0,82,0,Солнечные батареи
Боковой фиксатор 40 мм,0,0,0,105,0,Солнечные батареи
